klub;id;imnz;dur;ww
Kolejarz Stróże;5063;Witold Cichy;1986;182;77
Kolejarz Stróże;1269;Krzysztof Markowski; 1979;185;82
Kolejarz Stróże;8502;Paulius Paknys;1984;185;80
Kolejarz Stróże;8566;Dawid Szufryn;1986;191;82
Kolejarz Stróże;2290;Dariusz Walęciak;1979;183;70
Kolejarz Stróże;7464;Konrad Cebula;1983;174;68
Kolejarz Stróże;13389;Michał Chrapek;1992;175;68
Kolejarz Stróże;11783;Tomasz Ciećko;1988;183;70
Kolejarz Stróże;19370;Szymon Gruca;1992;179;76
Kolejarz Stróże;5041;Michał Gryźlak;1983;177;65
Kolejarz Stróże;10439;Mateusz Kantor;1992;178;70
Kolejarz Stróże;9568;Cheikh Niane;1984;186;86
Kolejarz Stróże;7435;Marcin Stefanik;1987;183;72
Kolejarz Stróże;3819;Janusz Wolański;1979;170;66
Kolejarz Stróże;3451;Dariusz Zawadzki;1982;180;80
Kolejarz Stróże;957;Maciej Kowalczyk;1977;181;76
Kolejarz Stróże;5586;Mariusz Mężyk;1983;177;69
Kolejarz Stróże;9225;Rafał Zawiślan;1988;176;70
KS Polkowice;20146;Kacper Bosacki;1994;184;80
KS Polkowice;3105;Krzysztof Osiński;1981;183;80
KS Polkowice;5584;Sebastian Szymański;1979;189;82
KS Polkowice;10125;Mateusz Bartków;1991;184;79
KS Polkowice;9134;Artur Janus;1988;188;81
KS Polkowice;814;Krzysztof Kazimierczak; 1981;180;76
KS Polkowice;5448;Przemysław Kocot;1986;178;65
KS Polkowice;20147;Peter Mičic;1986;179;76
KS Polkowice;7056;Michał Mróz;1986;183;77
KS Polkowice;3087;Marcin Nowak;1979;183;77
KS Polkowice;10782;Dawid Wacławczyk;1991;185;76
KS Polkowice;11312;Damian Ałdaś;1991;181;77
KS Polkowice;15076;Maciej Bancewicz;1991;170;65
KS Polkowice;11866;Patryk Bryła;1990;178;67
KS Polkowice;6074;Krzysztof Janus;1986;176;73
KS Polkowice;16923;Michał Miłek;1992;164;61
KS Polkowice;17562;Mateusz Peroński;1989;190;80
KS Polkowice;6419;Damian Piotrowski;1987;175;65
KS Polkowice;3237;Tomasz Salamoński;1973;178;80
KS Polkowice;5678;Kamil Wacławczyk;1987;178;68
KS Polkowice;4685;Mateusz Piątkowski;1984;186;75
KS Polkowice;4302;Grzegorz Podstawek;1979;182;77
KS Polkowice;14268;Jakub Więzik;1991;195;82
Olimpia Elbląg;17451;Miloš Budaković;1991;191;86
Olimpia Elbląg;3932;Krzysztof Stodoła;1982;184;79
Olimpia Elbląg;20238;Mateusz Zagłoba;1992;179;74
Olimpia Elbląg;16657;Mykoła Dremluk;1980;188;90
Olimpia Elbląg;8785;Mateusz Jacak;1988;180;78
Olimpia Elbląg;17638;Grzegorz Miecznik;1991;171;62
Olimpia Elbląg;4995;Marcin Pacan;1981;186;79
Olimpia Elbląg;1996;Marcin Staniek;1980;190;82
Olimpia Elbląg;3315;Sławomir Szary;1979;184;84
Olimpia Elbląg;5373;Paweł Wojciechowski;1984;180;69
Olimpia Elbląg;17554;Paweł Żuraw;1991;178;75
Olimpia Elbląg;11892;Adam Banasiak;1989;185;76
Olimpia Elbląg;12343;Bartłomiej Bartosiak; 1991;176;68
Olimpia Elbląg;4842;Bartosz Iwan;1984;186;75
Olimpia Elbląg;7286;Krzysztof Kaczmarczyk;1980;180;75
Olimpia Elbląg;21588;Wiesław Korzeb;1976;182;73
Olimpia Elbląg;13331;Lubomir Lubenow;1980;178;70
Olimpia Elbląg;6322;Andrzej Matwijów;1983;170;68
Olimpia Elbląg;1433;Mariusz Muszalik;1979;176;75
Olimpia Elbląg;17509;Damian Pawlak;1991;178;73
Olimpia Elbląg;6060;Michał Pietroń;1985;185;80
Olimpia Elbląg;19888;Michał Ressel;1993;182;74
Olimpia Elbląg;1897;Robert Sierant;1982;189;90
Olimpia Elbląg;16892;Mateusz Szmydt;1992;181;67
Olimpia Elbląg;9888;Łukasz Zaniewski;1991;187;75
Olimpia Elbląg;4543;Paweł Buśkiewicz;1983;188;83
Olimpia Elbląg;7612;Daniel Koczon;1982;182;83
Olimpia Elbląg;6410;Mateusz Kołodziejski; 1986;181;77
Olimpia Grudziądz;12783;Daniel Osiecki;1988;185;73
Olimpia Grudziądz;2444;Michał Wróbel;1980;201;102
Olimpia Grudziądz;19116;Mateusz Zaniewski; 1991;196;93
Olimpia Grudziądz;7600;Maciej Dąbrowski;1987;194;88
Olimpia Grudziądz;16866;Adam Gajda;1991;179;71
Olimpia Grudziądz;5609;Marcin Kokoszka;1984;180;73
Olimpia Grudziądz;9065;Arkadiusz Koprucki;1984;190;78
Olimpia Grudziądz;6652;Bartłomiej Kowalski; 1983;178;74
Olimpia Grudziądz;7635;Dawid Ptaszyński I;1982;187;80
Olimpia Grudziądz;12289;Jarosław Ratajczak; 1991;184;68
Olimpia Grudziądz;13865;Tomasz Adamczyk;1993;180;75
Olimpia Grudziądz;2605;Jarosław Białek;1981;181;75
Olimpia Grudziądz;4138;Jakub Cieciura;1983;179;70
Olimpia Grudziądz;292;Tomasz Copik;1978;190;80
Olimpia Grudziądz;2690;Grzegorz Domżalski; 1983;165;61
Olimpia Grudziądz;7492;Adrian Frańczak;1987;183;80
Olimpia Grudziądz;17642;Paul Grischok;1986;182;72
Olimpia Grudziądz;2899;Hubert Kościukiewicz; 1978;191;88
Olimpia Grudziądz;9288;Mariusz Kryszak;1984;182;77
Olimpia Grudziądz;1559;Sławomir Pach;1979;181;75
Olimpia Grudziądz;5172;Tomasz Rogóż;1982;177;74
Olimpia Grudziądz;412;Janusz Dziedzic;1980;180;78
Olimpia Grudziądz;7064;Piotr Ruszkul;1985;185;76
Olimpia Grudziądz;9192;Przemysław Sulej;1982;180;73
Olimpia Grudziądz;9805;Łukasz Tumicz;1985;180;77
Piast Gliwice;12016;Marcin Korbecki;1990;184;80
Piast Gliwice;3323;Jakub Szmatuła;1981;187;79
Piast Gliwice;10884;Dariusz Trela;1989;183;80
Piast Gliwice;17425;Jan Buryán;1977;182;80
Piast Gliwice;2874;Adrian Klepczyński;1981;187;73
Piast Gliwice;15331;Wojciech Lisowski;1992;186;74
Piast Gliwice;17431;Mateusz Matras;1991;193;88
Piast Gliwice;7203;Gediminas Paulauskas;1982;189;78
Piast Gliwice;14258;Bartosz Sopel;1990;182;72
Piast Gliwice;12337;Mateusz Bodzioch;1990;190;82
Piast Gliwice;19900;Kamil Groborz;1992;186;75
Piast Gliwice;16069;Krzysztof Hałgas;1991;186;71
Piast Gliwice;7098;Łukasz Krzycki;1984;188;79
Piast Gliwice;10608;Szymon Matuszek;1989;185;79
Piast Gliwice;5447;Marcin Pietroń;1986;175;66
Piast Gliwice;10066;Rafał Pietrzak;1992;176;69
Piast Gliwice;4825;Tomasz Podgórski;1985;175;70
Piast Gliwice;16346;Rudolf Urban;1980;181;75
Piast Gliwice;3915;Mariusz Zganiacz;1984;173;70
Piast Gliwice;6289;Tomasz Bzdęga;1985;185;82
Piast Gliwice;20154;Pavol Cicman;1985;175;71
Piast Gliwice;20896;Rubén Jurado;1986;178;74
Piast Gliwice;5365;Wojciech Kędziora;1980;187;75
Piast Gliwice;7534;Roman Maciejak;1988;183;77
Piast Gliwice;19500;Patryk Nalepa;1992;184;73
Piast Gliwice;7427;Adrian Świątek;1986;174;62
Piast Gliwice;20096;Pavel Vrána;1985;189;81
Pogoń Szczecin;4889;Bartosz Fabiniak;1982;197;89
Pogoń Szczecin;3574;Radosław Janukiewicz; 1984;193;85
Pogoń Szczecin;19505;Marcin Zomerski;1992;195;84
Pogoń Szczecin;7908;Paweł Grocholski;1986;190;85
Pogoń Szczecin;10636;Peter Hricko;1981;177;76
Pogoń Szczecin;17827;Damian Kostkowski;1993;190;87
Pogoń Szczecin;3989;Dawid Kucharski;1984;184;80
Pogoń Szczecin;6630;Łukasz Matuszczyk;1981;184;80
Pogoń Szczecin;17467;Emil Noll;1978;194;84
Pogoń Szczecin;1757;Błażej Radler;1982;190;85
Pogoń Szczecin;10156;Mateusz Szałek;1991;180;74
Pogoń Szczecin;14648;Łukasz Wójcik;1992;178;76
Pogoń Szczecin;16441;Takafumi Akahoshi;1986;175;66
Pogoń Szczecin;878;Robert Kolendowicz;1980;174;72
Pogoń Szczecin;20792;Yoki Kumada;1992;175;70
Pogoń Szczecin;16844;Mateusz Lewandowski;1993;182;72
Pogoń Szczecin;1175;Bartosz Ława;1979;176;68
Pogoń Szczecin;8922;Adrian Łuszkiewicz;1986;179;74
Pogoń Szczecin;14973;Robert Mandrysz;1991;180;73
Pogoń Szczecin;5291;Piotr Petasz;1984;187;83
Pogoń Szczecin;8034;Przemysław Pietruszka;1984;184;75
Pogoń Szczecin;4966;Maksymilian Rogalski; 1983;180;81
Pogoń Szczecin;11838;Daniel Wólkiewicz;1991;172;63
Pogoń Szczecin;6385;Andradina;1974;177;79
Pogoń Szczecin;20137;Donald Djoussé;1990;183;81
Pogoń Szczecin;8948;Adam Frączczak;1987;180;76
Pogoń Szczecin;3922;Marcin Klatt;1985;185;83
Pogoń Szczecin;6208;Vuk Sotirović;1982;177;78
Pogoń Szczecin;19480;Radosław Wiśniewski;1992;172;65
Ruch Radzionków;17357;Piotr Adamek;1992;186;75
Ruch Radzionków;13172;Mateusz Mika;1987;183;82
Ruch Radzionków;2054;Marcin Suchański;1977;185;70
Ruch Radzionków;16544;Bartosz Kopacz;1992;188;85
Ruch Radzionków;7479;Marcin Kowalski;1987;175;63
Ruch Radzionków;17750;Michał Nalepa;1993;189;80
Ruch Radzionków;18836;Rafał Otwinowski;1992;192;85
Ruch Radzionków;12110;Marcin Trzcionka;1989;175;67
Ruch Radzionków;12102;Paweł Giel;1989;188;73
Ruch Radzionków;3543;Adam Giesa;1982;175;72
Ruch Radzionków;4823;Jarosław Kaszowski;1978;175;70
Ruch Radzionków;16043;Piotr Łopuch;1990;172;71
Ruch Radzionków;16962;Mateusz Mak;1991;173;60
Ruch Radzionków;17722;Damian Michalik;1992;180;74
Ruch Radzionków;7999;Wojciech Mróz;1987;175;65
Ruch Radzionków;1793;Piotr Rocki;1974;172;75
Ruch Radzionków;6796;Mateusz Cieluch;1987;175;65
Ruch Radzionków;12103;Piotr Giel;1989;189;75
Ruch Radzionków;8602;Marcin Krzywicki;1986;200;87
Ruch Radzionków;16963;Michał Mak;1991;172;60
Ruch Radzionków;9445;Szymon Skrzypczak;1990;183;70
Sandecja Nowy Sącz;8565;Marek Kozioł;1988;199;91
Sandecja Nowy Sącz;8126;Mariusz Różalski; 1984;197;86
Sandecja Nowy Sącz;12251;Paweł Zwoliński;1988;193;76
Sandecja Nowy Sącz;9570;Petar Borovićanin;1985;173;74
Sandecja Nowy Sącz;7903;Łukasz Derbich;1983;187;84
Sandecja Nowy Sącz;2706;Marcin Dymkowski; 1981;184;75
Sandecja Nowy Sącz;5643;Sebastian Fechner;1983;180;74
Sandecja Nowy Sącz;2729;Ján Fröhlich;1974;190;84
Sandecja Nowy Sącz;3026;Marcin Makuch;1980;177;81
Sandecja Nowy Sącz;7460;Tomasz Midzierski;1985;190;84
Sandecja Nowy Sącz;19496;Mateusz Wilk;1994;173;75
Sandecja Nowy Sącz;6067;Marcin Woźniak;1984;184;79
Sandecja Nowy Sącz;2600;Rafał Berliński;1976;180;78
Sandecja Nowy Sącz;5464;Filip Burkhardt;1987;174;69
Sandecja Nowy Sącz;20107;Milan Đurić;1987;185;82
Sandecja Nowy Sącz;17475;Pavel Eismann;1984;182;77
Sandecja Nowy Sącz;7493;Dariusz Gawęcki;1983;183;85
Sandecja Nowy Sącz;17477;Lukáš Janič;1986;175;71
Sandecja Nowy Sącz;14265;Patryk Jędrzejowski; 1991;175;64
Sandecja Nowy Sącz;9460;Paweł Leśniak;1989;181;68
Sandecja Nowy Sącz;17348;Sebastian Szczepański; 1993;176;65
Sandecja Nowy Sącz;17648;Bartosz Szeliga;1993;184;74
Sandecja Nowy Sącz;8955;Wojciech Trochim; 1989;180;76
Sandecja Nowy Sącz;4663;Michał Trzeciakiewicz; 1984;200;83
Sandecja Nowy Sącz;6521;Bartosz Wiśniewski;1985;185;75
Sandecja Nowy Sącz;21;Arkadiusz Aleksander; 1980;184;76
Sandecja Nowy Sącz;2650;Marcin Chmiest;1979;184;84
Termalica Nieciecza;6674;Maciej Budka;1986;183;77
Termalica Nieciecza;3977;Sebastian Nowak;1982;197;96
Termalica Nieciecza;2591;Arkadiusz Baran; 1979;185;80
Termalica Nieciecza;2659;Jan Cios;1976;184;83
Termalica Nieciecza;11680;Jakub Czerwiński;1991;183;75
Termalica Nieciecza;3621;Łukasz Kowalski; 1980;183;80
Termalica Nieciecza;8319;Mateusz Kowalski;1986;186;79
Termalica Nieciecza;8063;Dawid Kubowicz;1988;188;85
Termalica Nieciecza;3691;Arkadiusz Mysona;1981;172;68
