klub;id;imnz;rokur;wzrost;waga
Lech Poznań;12397;Siergiej Kriwiec;1986;177;74
Lech Poznań;10033;Mateusz Możdżeń;1991;180;76
Lech Poznań;3689;Rafał Murawski;1981;175;75
Lech Poznań;9752;Semir Štilić;1987;183;75
Lech Poznań;18608;Aleksandyr Tonew;1990;178;69
Lech Poznań;4924;Jakub Wilk;1985;177;70
Lech Poznań;17651;Artjoms Rudnevs;1988;178;70
Lech Poznań;2171;Bartosz Ślusarski;1981;186;81
Lech Poznań;19384;Vojo Ubiparip;1988;180;72
Legia Warszawa;17399;Marijan Antolović;1989;195;87
Legia Warszawa;17291;Dušan Kuciak;1985;194;87
Legia Warszawa;5607;Wojciech Skaba;1984;190;81
Legia Warszawa;15938;Jakub Szumski;1992;194;78
Legia Warszawa;8311;Inaki Astiz;1983;185;74
Legia Warszawa;2654;Dickson Choto;1981;192;99
Legia Warszawa;7462;Artur Jędrzejczyk;1987;189;78
Legia Warszawa;829;Tomasz Kiełbowicz;1976;179;72
Legia Warszawa;15502;Srđa Knežević;1985;180;77
Legia Warszawa;4721;Marcin Komorowski;1984;186;75
Legia Warszawa;5199;Jakub Rzeźniczak;1986;183;82
Legia Warszawa;5144;Jakub Wawrzyniak;1983;188;85
Legia Warszawa;2537;Michał Żewłakow;1976;182;75
Legia Warszawa;8946;Ariel Borysiuk;1991;178;70
Legia Warszawa;6250;Janusz Gol;1985;182;77
Legia Warszawa;13135;Jakub Kosecki;1990;168;59
Legia Warszawa;15018;Daniel Łukasik;1991;179;73
Legia Warszawa;17351;Manú;1982;171;68
Legia Warszawa;10757;Moshe Ohayon;1983;181;75
Legia Warszawa;7406;Miroslav Radović;1984;182;76
Legia Warszawa;9512;Maciej Rybus;1989;172;75
Legia Warszawa;15603;Ivica Vrdoljak;1983;187;83
Legia Warszawa;16192;Rafał Wolski;1992;179;66
Legia Warszawa;15914;Michał Efir;1992;181;73
Legia Warszawa;10860;Maciej Górski;1990;183;75
Legia Warszawa;6569;Michal Hubník;1983;183;77
Legia Warszawa;9959;Michał Kucharczyk;1991;178;72
Legia Warszawa;6722;Danijel Ljuboja;1978;188;80
Legia Warszawa;15020;Michał Żyro;1992;189;78
Łódzki KS;20339;Adrian Olszewski;1993;190;83
Łódzki KS;20143;Pavle Velimirović;1990;186;80
Łódzki KS;2459;Bogusław Wyparło;1974;183;80
Łódzki KS;15;Marcin Adamski;1975;187;80
Łódzki KS;8968;Artur Gieraga;1988;183;80
Łódzki KS;2748;Paweł Golański;1982;183;77
Łódzki KS;2873;Piotr Klepczarek II;1984;180;74
Łódzki KS;1167;Michał Łabędzki;1980;184;76
Łódzki KS;3883;Antoni Łukasiewicz;1983;188;80
Łódzki KS;13188;Szymon Salski;1990;187;70
Łódzki KS;3914;Cezary Stefańczyk;1984;184;78
Łódzki KS;20308;Jakub Wróblewski;1992;187;80
Łódzki KS;4202;Marcin Kaczmarek;1979;170;65
Łódzki KS;8510;Mladen Kašćelan;1983;178;70
Łódzki KS;862;Dariusz Kłus;1981;187;80
Łódzki KS;8040;Tomasz Nowak;1985;171;72
Łódzki KS;17610;Oskar Osowski;1991;182;75
Łódzki KS;20303;Kamil Paluch;1991;171;66
Łódzki KS;20247;Agwan Papikjan;1994;173;69
Łódzki KS;20248;Wolodja Papikjan;1993;172;69
Łódzki KS;12188;Marcin Pękała;1991;169;65
Łódzki KS;8939;Radosław Pruchnik;1986;185;80
Łódzki KS;4662;Bartosz Romańczuk;1983;175;71
Łódzki KS;5580;Marcin Smoliński;1985;174;68
Łódzki KS;3312;Sebastian Szałachowski;1984;174;71
Łódzki KS;3892;Robert Szczot;1982;176;74
Łódzki KS;214;Maciej Bykowski;1977;177;77
Łódzki KS;16460;Artur Golański;1992;186;74
Łódzki KS;20241;Przemysław Kita;1993;180;71
Łódzki KS;17611;Patryk Kubicki;1993;177;63
Łódzki KS;8969;Rafał Kujawa;1988;185;78
Łódzki KS;1345;Marcin Mięciel;1975;186;76
Łódzki KS;1857;Marek Saganowski;1978;178;78
