Numer;Reprezentacja;Pozycja;Wiek;Wzrost;Waga;LWwR
28;south_africa;centre;30;186;90;16
29;south_africa;prop;26;185;118;7
30;south_africa;number-8;24;189;104;5
01;spain;scrumhalf;26;175;75;5
02;spain;flanker;25;185;95;10
03;spain;centre;22;182;88;11
04;spain;prop;26;180;108;26
05;spain;hooker;29;176;95;38
06;spain;flanker;36;183;95;6
07;spain;centre;25;175;85;8
08;spain;centre;25;182;82;29
09;spain;flyhalf;23;189;93;5
10;spain;wing;25;183;84;7
11;spain;scrumhalf;23;173;71;12
12;spain;wing;26;182;73;2
13;spain;flyhalf;28;180;81;11
14;spain;centre;26;179;84;4
15;spain;flanker;32;188;102;5
16;spain;flanker;35;190;100;73
17;spain;lock;30;198;115;6
18;spain;number-8;26;188;93;5
19;spain;fullback;36;186;86;91
20;spain;wing;24;174;73;9
21;spain;centre;26;187;82;9
22;spain;wing;29;179;82;6
23;spain;number-8;23;190;112;15
24;spain;lock;23;194;106;4
25;spain;prop;32;185;110;11
26;spain;lock;30;195;105;11
27;spain;fullback;23;180;80;15
28;spain;lock;28;195;100;32
29;spain;prop;25;182;109;15
30;spain;hooker;24;179;105;10
01;tonga;flanker;28;193;101;7
02;tonga;prop;27;189;122;2
03;tonga;wing;23;180;90;8
04;tonga;lock;36;193;114;33
05;tonga;centre;27;190;102;5
06;tonga;lock;30;190;114;38
07;tonga;prop;30;187;112;7
08;tonga;lock;27;195;114;12
09;tonga;flanker;27;187;97;9
10;tonga;lock;32;195;120;42
11;tonga;prop;29;182;110;6
12;tonga;scrumhalf;22;180;84;12
13;tonga;prop;28;180;114;5
14;tonga;prop;30;180;115;11
15;tonga;wing;20;193;115;0.00
16;tonga;fullback;29;182;100;6
17;tonga;wing;30;177;85;6
18;tonga;wing;24;185;90;16
19;tonga;flyhalf;23;185;89;10
20;tonga;lock;25;182;114;6
21;tonga;wing;27;177;95;7
22;tonga;flanker;25;193;103;9
23;tonga;wing;26;182;90;9
24;tonga;number-8;32;193;110;33
25;tonga;flanker;32;182;100;9
26;tonga;fullback;28;182;91;11
27;tonga;scrumhalf;22;185;95;5
28;tonga;flyhalf;27;182;90;41
29;tonga;hooker;30;174;110;24
30;tonga;flyhalf;25;177;81;8
01;uruguay;flyhalf;25;187;95;31
02;uruguay;flyhalf;23;182;90;8
03;uruguay;lock;24;195;110;0.00
04;uruguay;lock;26;195;106;32
05;uruguay;prop;31;185;113;18
06;uruguay;flanker;23;193;96;8
07;uruguay;fullback;28;172;73;24
08;uruguay;wing;20;183;87;1
09;uruguay;wing;30;185;90;24
10;uruguay;hooker;29;177;97;19
11;uruguay;lock;24;193;114;4
12;uruguay;scrumhalf;28;168;83;2
13;uruguay;wing;28;170;82;28
14;uruguay;flanker;25;195;103;16
15;uruguay;number-8;22;180;95;0
16;uruguay;lock;33;190;111;49
17;uruguay;hooker;27;167;90;17
18;uruguay;prop;24;185;129;21
19;uruguay;centre;25;178;86;0
20;uruguay;fullback;22;175;80;4
21;uruguay;centre;26;172;88;31
22;uruguay;number-8;40;182;98;63
23;uruguay;flanker;29;187;99;42
24;uruguay;centre;32;178;86;0
25;uruguay;lock;35;187;105;12
26;uruguay;prop;25;175;96;21
27;uruguay;scrumhalf;33;172;80;42
28;uruguay;prop;25;182;114;14
29;uruguay;centre;29;177;85;37
30;uruguay;wing;22;185;85;1
01;usa;wing;29;172;77;42
02;usa;hooker;35;172;95;42
03;usa;fullback;29;180;82;10
04;usa;prop;26;182;111;1
05;usa;fullback;22;173;83;0.00
06;usa;scrumhalf;25;172;78;14
07;usa;centre;26;182;93;16
08;usa;lock;30;205;114;36
09;usa;wing;29;172;83.5;15
10;usa;lock;31;193;100;21
11;usa;hooker;22;180;95;3
12;usa;prop;28;175;111;1
13;usa;prop;27;185;109;31
14;usa;number-8;29;185;110;27
15;usa;flanker;29;195;113;25
16;usa;flanker;26;180;102;9
17;usa;flyhalf;33;180;88;6
18;usa;flanker;22;185;97;5
19;usa;lock;25;198;100;22
20;usa;lock;24;203;114;0.00
21;usa;centre;31;182;97;17
22;usa;centre;30;180;91;37
23;usa;wing;36;185;109;5
24;usa;centre;25;185;91;15
25;usa;flyhalf;23;175;81;0.00
26;usa;prop;30;182;100;13
27;usa;centre;30;180;95;23
28;usa;flanker;34;187;110;22
29;usa;wing;20;188;105;0.00
30;usa;centre;38;180;86;36
01;wales;flanker;23;185;111;8
02;wales;centre;34;175;89;20
03;wales;centre;27;180;83;7
04;wales;flanker;27;190;105;24
05;wales;prop;24;190;119;7
06;wales;centre;28;175;98;42
07;wales;lock;23;198;108;2
08;wales;fullback;31;175;89;13
09;wales;scrumhalf;29;177;84;37
10;wales;hooker;30;182;105;32
11;wales;wing;24;190;91;21
12;wales;hooker;33;177;103;47
13;wales;flyhalf;28;177;84;70
14;wales;centre;23;192;105;1
15;wales;prop;26;177;105;18
